"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"VisorTech Funkrauchmelder";"PEARL GmbH";"Schützen Sie Ihr Zuhause zuverlässig vor Brandgefahr – mit den kompakten WLAN-Rauchmeldern RWM-190.app. Die Geräte erkennen Rauch zuverlässig per fotoelektrischem Sensor (Lebensdauer: 10 Jahre) und lösen bei Gefahr einen lautstarken Alarm mit 85 dB aus. Eine integrierte LED zeigt zusätzlich optisch den Alarmzustand an.  Per kostenloser App „ELESION“ (iOS/Android) erhalten Sie weltweit Push-Benachrichtigungen – auch wenn Sie nicht zu Hause sind. Dank WiFi-Anbindung (2,4 GHz) lassen sich die Rauchmelder nahtlos in Ihr bestehendes Smart-Home-System integrieren. Die Geräte sind kompatibel mit Smart-Life- und Tuya-Systemen und können so gemeinsam automatisiert gesteuert werden.";"51-100 €";"Nein";"";"Webshop";"2025-07-15";" ELESION App für iOS und Android";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1224";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Homematic IP Starter Set Wohnung mit 3 Rauchwarnmeldern";"Homematic IP ";"Das Homematic IP Starter Set Rauchwarnmelder hat alles, was für einen schnellen Start erforderlich ist. Mit einem Access Point, drei Rauchwarnmeldern und einer großen Auswahl an Ausbauelementen, kannst Du Dein Smart Home nach belieben aufbauen! Die selbstentwickelte IP-Funktechnik verleiht Dir hierbei den Vorteil, dass eine einzige Zentrale mehr als genug Fläche und Geräte abdeckt.";"101-300 €";"Nein";"";"Webshop";"2025-07-15";"alexa; hey google, Homematic IP App";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1225";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Funk-Rauchwarnmelder mit Hitzewarnfunktion";"ABUS Security Center GmbH & Co. KG";"Der Funk-Rauchwarnmelder mit Hitzewarnfunktion ABUS RWM450 ist durch die Möglichkeit der Vernetzung besonders gut für Einfamilienhäuser mit mehreren Stockwerken geeignet. Löst ein Melder Alarm aus, wird dieser automatisch an alle weiteren erreichbaren RWM450 weitergeleitet. So können sich alle Bewohner im Brandfall rechtzeitig in Sicherheit bringen und Entstehungsbrände in Räumen, in denen sich gerade niemand aufhält (Keller, Waschküche, Dachboden) werden schnell detektiert. Dank der zusätzlichen Hitzewarnfunktion ist RWM450 auch bestens für den Einsatz in Küchen geeignet.";"51-100 €";"Nein";"";"Webshop";"2025-07-15";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1226";"Nur Hardware";"Nein";"Herstellergebunden";"";"aktiv"
"X-Sense Smarter Rauchmelder WLAN";"X-Sense ";"Der X‑Sense XS0B‑MR61 ist ein smarter WLAN-Rauchmelder mit Sprachansage, der im Alarmfall den betroffenen Raum nennt und so für schnelle Orientierung sorgt. Über die mitgelieferte Basisstation lassen sich bis zu 50 Geräte miteinander vernetzen und bequem per App verwalten – inklusive Alarmmeldungen, Systemtests und Statusanzeigen. Mit Nachtmodus, zuverlässigem 10-Jahres-Sensor und austauschbarer Batterie bietet er moderne Sicherheit und hohen Bedienkomfort.";"101-300 €";"Nein";"";"Webshop";"2025-07-15";"X-Sense Home Security App";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1227";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Meross WLAN Rauchmelder";"Meross ";"Das Meross Rauchmelder-Set mit Hub ermöglicht eine zuverlässige Vernetzung von bis zu 16 Meldern, die im Alarmfall gleichzeitig auslösen. Dank Integration in Apple HomeKit erhalten Nutzer bei Rauchentwicklung oder plötzlichem Temperaturanstieg sofort Push-Benachrichtigungen auf ihr Smartphone. Die Geräte kommunizieren untereinander kabellos und führen regelmäßige Selbsttests durch, deren Ergebnisse bequem per App einsehbar sind. Mit zertifizierter Sicherheit nach EN-Normen bietet das Set eine smarte und umfassende Lösung für den Brandschutz im vernetzten Zuhause.";"51-100 €";"Nein";"";"Webshop";"2025-07-15";"Apple HomeKit";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1228";"Nur Hardware";"Ja";"";"";"aktiv"
"Aqara Smart Lock U200";"Aqara LLC";"Das Aqara Smart Lock U200 bietet zuverlässigen Weglaufschutz und seniorenfreundliche Sicherheit durch automatische Verriegelung und einfache Fingerprint- oder Code-Bedienung. Dank kabelloser Nachrüstung, lautlosem Öffnen und Notfall-Zugang per Schlüssel oder App bleibt der Alltag sicher und komfortabel. Die Integration in Smart-Home-Systeme ermöglicht Angehörigen oder Pflegekräften jederzeit Kontrolle und schnelle Reaktion aus der Ferne.";"101-300 €";"Nein";"";"Webshop";"2025-07-16";"Aqara Home app, Aqara Hub M3, Apple Home, Google Home, Alexa, SmartThings";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Türschloss";"Stürzen,Sich verlaufen";"";"1229";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"FRITZ!DECT 350-Magnetischer Tür-/Fensterkontakt für Smart Home";"AVM Computersysteme Vertriebs GmbH";"Der FRITZ!DECT 350 Tür- und Fenstersensor bietet eine einfache und zuverlässige Möglichkeit, Senioren mit Weglauf-Risiko zu schützen. Er erkennt sofort das Öffnen von Türen und Fenstern und kann automatisch Alarme oder Benachrichtigungen auslösen, damit Angehörige oder Pflegekräfte schnell reagieren können. Dank der direkten Anbindung an die FRITZ!Box ist keine zusätzliche Hardware nötig, und individuelle Warn-Szenarien lassen sich einfach einrichten. Durch seine kompakte Bauweise und einfache Montage eignet sich der Sensor ideal für Wohnungen oder Pflegeeinrichtungen.";"1-50 €";"Nein";"";"Webshop";"2025-07-16";"FRITZ!App Smart Home";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen,Sich verlaufen";"";"1230";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Aqara Tür- und Fenstersensor";"Aqara LLC";"Der Aqara Tür- und Fenstersensor eignet sich ideal als Weglaufschutz für Senioren mit Demenz oder Orientierungsschwierigkeiten. Er erkennt zuverlässig das Öffnen von Türen und Fenstern und sendet sofortige Benachrichtigungen ans Smartphone oder gibt ein akustisches Signal über den Smart-Home-Hub. Die einfache, unauffällige Montage ohne Kabel sowie die lange Batterielaufzeit sorgen für eine alltagstaugliche und diskrete Lösung ohne Stigmatisierung. Dank Integration in Systeme wie Apple HomeKit oder Alexa kann auch eine automatische Nachtbeleuchtung eingerichtet werden, um Sicherheit und Orientierung zusätzlich zu erhöhen.";"1-50 €";"Nein";"";"Webshop";"2025-07-16";"Aqara Home app, Aqara Hub M3, Apple Home, Google Home, Alexa, SmartThings";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen,Sich verlaufen";"";"1231";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Ring Alarm-Set - S";"ring.com";"Das Ring Alarm Security Kit (2. Generation) bietet Senioren ein sicheres Zuhause mit einfacher Bedienung. Die große Tastatur mit klaren Symbolen ermöglicht das Aktivieren und Deaktivieren des Alarms ohne technische Vorkenntnisse. Dank der schnellen Selbstmontage ohne Bohren eignet sich das System ideal für ältere Menschen, die auf einfache Lösungen setzen. Bei Bedarf benachrichtigt die Anlage automatisch Angehörige oder den Notruf – für mehr Sicherheit und ein beruhigendes Gefühl im Alltag. Ideal für Wohnräume bis 60m².";"101-300 €";"Ja";"";"Webshop";"2025-07-16";"Ring App; Alexa";"Ja";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen,Sich verlaufen";"";"1232";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Ring Alarm-Set - L";"ring.com";"Das Ring Alarm Security Kit – 10‑teilig (2. Generation) – ist ideal für Senioren, die ein rundum sicheres und leichtes Bedienkonzept suchen. Es enthält Basisstation, Keypad, vier Tür-/Fensterkontakte, drei Bewegungsmelder und einen Signalverstärker – perfekt für größere Wohnungen oder Häuser bis etwa. Die kinderleichte Selbstmontage ohne Bohren und das übersichtliche Keypad mit klaren Symbolen und Panik‑Buttons erleichtern im Alltag die Nutzung – auch bei eingeschränkter Beweglichkeit . Im Notfall werden Angehörige oder Rettungsdienste über die App benachrichtigt, für noch mehr Sicherheit sorgt optionales professionelles Monitoring mit Mobilfunk‑Backup. So bietet das Kit ein großzügiges, zuverlässiges Sicherheitsnetz – beruhigend und einfach zu handhaben für ältere Menschen.";"301-500 €";"Ja";"";"Webshop";"2025-07-16";"Ring App ; Alexa";"Ja";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen,Sich verlaufen";"";"1233";"Nur Hardware";"Ja";"WLAN";"";"aktiv"
"Digitaler Gesundheits- und Pflegeassistent ADELE System DMA";"ALMA PHIL GmbH";"Das Produkt Digitaler Gesundheits- und Pflegeassistent ADELE System DMA ist ein digitales Assistenzsystem in Form eines Smartspeakers/Dialogmonitors mit Bildschirm.  Das Produkt verfügt über verschiedene Module. Die folgenden Funktionen sind Gegenstand der Aufnahme in das Hilfsmittelverzeichnis:  - Sprachbasierte Einstellung von Erinnerungen - Darstellung der Urzeit und zusätzlicher Strukturangaben ";"Auf Anfrage";"Optional";"Pflegehilfsmittelkatalog-Nr.:  52.40.05.0003";"Hersteller-Website";"2025-05-27";"";"Nein";"Netzbetrieb";"Beweglich";"Ja";"Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Smart Home / Assistenzsystem";"Vergesslichkeit,Flüssigkeitsmangel";"";"1163";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"Senionex Flex Pro 2";"Senionex";"Das Senionex FLEX PRO 2 ist ein innovatives Notrufarmband, das neben einem Senioren Notrufknopf auch mit GPS-Ortung, Telefonfunktion und eingebautem Sturzsensor ausgestattet ist. Durch seine benutzerfreundliche Gestaltung gewährleistet das FLEX PRO 2 umfassenden Schutz für Senioren, ";"101-300 €";"Nein";"";"Hersteller-Website";"2025-07-11";"";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Kommunikationsmittel,Ortungssystem";"Stürzen,Sich verlaufen";"";"1196";"Nur Hardware";"Ja";"GSM/LTE";"";"aktiv"
"Pflegeassistent ADELE System E";"ALMA PHIL GmbH";"Das Produkt Digitaler Gesundheits- und Pflegeassistent ADELE System E ist ein digitales Assistenzsystem in Form einer Smartwatch. Geo-Schutz: Alarm bei Verlassen eines definierten geographischen Bereichs, Alarm bei Annäherung an No-Go Bereiche an Familienangehörige oder Notrufzentrale Sprachbasierte Einstellung von Erinnerungen Darstellung der Urzeit und zusätzlicher Strukturangaben ";"Auf Anfrage";"Optional";"Pflegehilfsmittelkatalog-Nr.:  52.40.05.0002";"Hersteller-Website";"2025-05-27";"";"Nein";"Akku";"Wearables";"Ja";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Verlässt unbemerkt die Wohnung,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Trinkerinnerung,Medikamenten-Management,Weglaufschutz,Sturzmelder,Smartwatch";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"";"1162";"Hardware + Software";"Ja";"GSM/LTE";"";"Aktiv"
"Tür- und Fensterkontakt smart";"DELTA DORE RADEMACHER GmbH";"Der smarte Tür- und Fensterkontakt von Homepilot bietet älteren Menschen mehr Sicherheit und ein beruhigendes Gefühl im Alltag. Er erkennt zuverlässig, ob Türen oder Fenster offen, gekippt oder geschlossen sind, und sendet bei Veränderungen automatisch eine Benachrichtigung aufs Smartphone. Die einfache, werkzeuglose Montage sowie die lange Batterielaufzeit machen ihn besonders seniorenfreundlich.";"51-100 €";"Nein";"";"Hersteller-Website";"2025-07-16";"Home Pilot App";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Weglaufschutz";"Stürzen,Sich verlaufen";"";"1234";"Nur Hardware";"Ja";"Herstellergebunden";"";"aktiv"
